tick_consumption_loisir_all,tick_consumption_travail_all,tick_consumption_scolarite_all,tick_consumption_externe_all
62740560.0,339699865.225,95218658.0,0.0
62750880.0,339928292.725,95133470.0,1598971638.0
62757648.0,340045552.17499995,95090876.0,6175531440.0
62805696.0,340372964.92499995,95108738.0,5919586920.0
62891904.0,340885403.9499999,95198048.0,5965681186.0
62933568.0,341256217.92499995,95168278.0,5845275540.0
63092256.0,341860027.9499999,95545212.0,5903355433.0
63215088.0,342314598.675,95843828.0,5925656880.0
63273312.0,342683889.8,95909780.0,5996001960.0
63288768.0,342907748.75,95842912.0,5986061640.0
63294960.0,343019678.22499996,95803982.0,5999966959.5
63295344.0,343023485.34999996,95801692.0,5963068800.0
63300816.0,343197851.67499995,95733908.0,6041950200.0
63350688.0,343510035.92499995,95779250.0,5944943160.0
63359376.0,343717143.5249999,95699100.0,5967037167.5
63363600.0,343832118.6999999,95651926.0,6023665440.0
63392256.0,344183135.625,95597882.0,5921753760.0
63472608.0,344642274.8999999,95717878.0,5948747880.0
63513504.0,344981109.025,95712382.0,5976289890.0
63656544.0,345492786.625,96060462.0,5915905230.6
63764880.0,345965631.55,96290378.0,5953236120.0
63820416.0,346273247.25000006,96350376.0,5927940720.0
63836784.0,346463603.5,96302286.0,5958154800.0
63842400.0,346625025.6,96247784.0,5955758640.0
63842304.0,346628832.725,96244578.0,6057941760.0
63849696.0,346793300.52500004,96194198.0,6021313500.0
63883920.0,347113860.45,96166718.0,6013009080.0
63893808.0,347308023.8249999,96111300.0,6026484455.5
63897696.0,347434420.37499994,96049470.0,5987709000.0
63937296.0,347770970.22499996,96039852.0,6064362720.0
64028928.0,348192038.25,96243662.0,5907045466.0
64067568.0,348493562.54999995,96235876.0,6048513900.0
64222272.0,349009047.275,96663190.0,5958459870.0
64317888.0,349392044.05,96887152.0,5937406020.0
64374048.0,349666918.47499996,96981042.0,6086531880.0
64387008.0,349823010.59999996,96946692.0,5964753600.0
64397088.0,349954737.125,96920586.0,5793872760.0
64396800.0,349957021.4,96918296.0,5984320680.0
64399056.0,350122250.625,96832192.0,6041246880.0
64433856.0,350367429.47499996,96877076.0,5977871640.0
64438992.0,350534181.55,96799216.0,6001610019.0
64439232.0,350619461.15,96751126.0,5913655320.0
64469664.0,350898142.7,96716318.0,6002935522.0
64562208.0,351289515.15000004,96903640.0,5962488360.0
64602480.0,351613120.775,96906846.0,5994628380.0
64745088.0,352060077.25,97323626.0,6067625765.5
64842768.0,352456018.24999994,97584686.0,6048991260.0
64891872.0,352708811.34999996,97686362.0,6081351120.0
64900656.0,352883939.0999999,97623616.0,6027975720.0
64904352.0,352997391.42499995,97587434.0,5996390400.0
64904256.0,352999675.7,97585144.0,6100801200.0
64911744.0,353162620.65,97515070.0,6074234940.0
64955712.0,353416175.17499995,97559038.0,6011970120.0
64962144.0,353572267.3,97507742.0,6012103998.0
64965696.0,353687242.475,97442248.0,6012071040.0
65002032.0,353930137.0500001,97490338.0,6085399320.0
65096784.0,354307803.85,97677202.0,6013827960.0
65128800.0,354562119.8,97703308.0,6003557820.0
65259744.0,354968720.75,98101768.0,5996719205.5
65368464.0,355318976.24999994,98412292.0,5980068900.0
65416752.0,355574053.625,98488320.0,6045132600.0
65427120.0,355707303.0,98458550.0,6065153640.0
65436528.0,355822278.175,98419620.0,6038539519.5
65436336.0,355827608.15,98415956.0,6008432040.0
65438304.0,355958573.24999994,98351378.0,5986626600.0
65480352.0,356194615.0,98408628.0,5986244160.0
65492352.0,356378879.84999996,98360996.0,6110682808.5
65492208.0,356471773.7,98310158.0,5964709440.0
65532672.0,356678881.2999999,98348630.0,6019775280.0
65608320.0,357023045.3999999,98502060.0,6069417000.0
65649072.0,357246142.92499995,98537326.0,6050872620.0
65788992.0,357700713.65,98946320.0,6065356340.5
65897904.0,358110360.3,99204174.0,5954089117.5
65955216.0,358376097.62499994,99311346.0,6100300440.0
65964192.0,358540565.42499995,99249974.0,6089077800.0
65970816.0,358645642.0749999,99218372.0,5975777767.5
65970000.0,358643357.7999999,99217456.0,6082867440.0
65969088.0,358789551.4,99140054.0,6115874160.0
65997888.0,359037014.525,99157458.0,6055611120.0
66012144.0,359196152.34999996,99113948.0,6098584972.5
66014544.0,359290569.04999995,99051660.0,5922945120.0
66042528.0,359590570.5,98993036.0,6130114200.0
66115632.0,359965953.025,99166618.0,6000391680.0
66144816.0,360224076.09999996,99162954.0,6195014280.0
66270816.0,360662656.90000004,99473020.0,6135952820.5
66373728.0,360979409.7,99780338.0,6115725652.5
66422448.0,361266466.925,99835298.0,6033661920.0
66426864.0,361421036.2,99766140.0,6124636440.0
66430896.0,361542864.2,99720798.0,5943283357.5
66430320.0,361542102.775,99718966.0,5974291440.0
66432480.0,361710377.7,99626908.0,5966881740.0
66463248.0,361961647.95,99620496.0,6040647978.0
66462192.0,362123070.04999995,99527980.0,6077546280.0
66456528.0,362187029.74999994,99471188.0,5950793160.0
66473376.0,362414695.825,99422640.0,6092974998.8
66544368.0,362748961.4,99585230.0,6037287510.0
66577296.0,362968251.8,99614542.0,6065726940.0
66712992.0,363401502.625,100000178.0,6025434620.5
66809568.0,363739575.3249999,100258490.0,6083520232.5
66856224.0,363968764.25,100327190.0,6112735200.0
66862224.0,364096683.65000004,100276352.0,6021105480.0
66867168.0,364185008.95,100235590.0,6026624203.5
66866976.0,364179678.97499996,100236506.0,6117906600.0
66868944.0,364275618.525,100191622.0,6076278360.0
66893472.0,364478157.575,100198034.0,6142318380.0
66897264.0,364619021.1999999,100120174.0,5991641855.5
66898848.0,364709630.775,100067504.0,6071558520.0
